,categories
0,Animation
1,Family
2,Comedy
3,Musical
4,Docuseries
5,Historical
6,Music
7,Biographical
8,Documentary
9,Action-Adventure
10,Superhero
11,Reality
12,Survival
13,Animals & Nature
14,Kids
15,Coming of Age
16,Drama
17,Fantasy
18,Lifestyle
19,Movies
20,Science Fiction
21,Concert Film
22,Crime
23,Sports
24,Anthology
25,Medical
26,Variety
27,Spy/Espionage
28,Buddy
29,Parody
30,Game Show / Competition
31,Romance
32,Anime
33,Romantic Comedy
34,Thriller
35,Police/Cop
36,Talk Show
37,Western
38,Dance
39,Series
40,Mystery
41,Soap Opera / Melodrama
42,Disaster
43,Travel
44,International
45,Action
46,Suspense
47,Special Interest
48,Adventure
49,Horror
50,Talk Show and Variety
51,Arts
52,Entertainment
53,and Culture
54,TV Shows
55,Music Videos and Concerts
56,Fitness
57,Faith and Spirituality
58,Military and War
59,LGBTQ
60,Unscripted
61,Young Adult Audience
62,Arthouse
63,Stand Up
64,Cooking & Food
65,Documentaries
66,Lifestyle & Culture
67,News
68,History
69,Teen
70,Health & Wellness
71,Black Stories
72,Latino
73,Late Night
74,Sketch Comedy
75,Classics
76,LGBTQ+
77,Adult Animation
78,Sitcom
79,Game Shows
80,Cartoons
81,Science & Technology
82,International TV Shows
83,TV Dramas
84,TV Mysteries
85,Crime TV Shows
86,TV Action & Adventure
87,Reality TV
88,Romantic TV Shows
89,TV Comedies
90,TV Horror
91,Children & Family Movies
92,Dramas
93,Independent Movies
94,International Movies
95,British TV Shows
96,Comedies
97,Spanish-Language TV Shows
98,Thrillers
99,Romantic Movies
100,Music & Musicals
101,Horror Movies
102,Sci-Fi & Fantasy
103,TV Thrillers
104,Kids' TV
105,Action & Adventure
106,TV Sci-Fi & Fantasy
107,Classic Movies
108,Anime Features
109,Sports Movies
110,Anime Series
111,Korean TV Shows
112,Science & Nature TV
113,Teen TV Shows
114,Cult Movies
115,Faith & Spirituality
116,LGBTQ Movies
117,Stand-Up Comedy
118,Stand-Up Comedy & Talk Shows
119,Classic & Cult TV
